"Freq [MHz]","mag(V(V1)) [V]","mag(V(V2)) [V]","mag(V(V3)) [V]","ang_deg(V(V1)) [deg]","ang_deg(V(V2)) [deg]","ang_deg(V(V3)) [deg]"
10,19.3429848104376,20.8490544010339,15.2900357998877,-10.6441503071867,-9.28326205552252,-9.8706253129539
50,7.4994115583165,12.5226808775514,14.0649613035433,-29.8543000052229,-44.2300837569486,168.423656993655
100,13.3858094825219,9.82815819908875,41.6311386950269,-38.8664368173431,-35.2721305456684,102.384692630193
