1000000+0i,0.4674837861736354-0.01425202192992745i,5.092580346941631e-006+0.000443278718976856i,-56.95424973368651+0.6548011948265169i,0.9997660076346406-0.02041865004463553i,1.373554971281261+0i,-0.1170550095446748+6.126071509881239e-005i,6.308612850431057+0i
1071891.319205128+0i,0.4674594575483926-0.01527631966657734i,5.851010785519456e-006+0.0004751372921184729i,-56.95313189588408+0.7018619818752352i,0.9997311594986533-0.02188614556045481i,1.3735549853332+0i,-0.1170550152659006+6.566482789020008e-005i,6.308612853124518+0i
1148951.000187309+0i,0.4674315063254968-0.01637418631886223i,6.722373553487359e-006+0.0005092840628336812i,-56.95184760903005+0.7523028514291557i,0.9996911223816083-0.02345904214345865i,1.373555001478188+0i,-0.117055021839298+7.038555796757198e-005i,6.308612856219648+0i
1231550.603292826+0i,0.4673993932915417-0.01755089483632125i,7.723478308543038e-006+0.000545883033345958i,-56.95037209765424+0.8063660661450122i,0.9996451239183535-0.02514489427299831i,1.373555020028014+0i,-0.117055029391799+7.544566732044605e-005i,6.308612859775771+0i
1320088.400831418+0i,0.4673624990370797-0.01881209354174302i,8.873634772140683e-006+0.0005851098806804957i,-56.9486769014844+0.8643111349780742i,0.9995922768715511-0.02695179422139808i,1.373555041340825+0i,-0.1170550380692834+8.086955431738441e-005i,6.308612863860999+0i
1414991.297434576+0i,0.4673201120498265-0.02016383226021094i,1.019502391652986e-005+0.0006271527692634667i,-56.94672932835987+0.92641601366284i,0.9995315620764826-0.02888840948899487i,1.37355506582822+0i,-0.1170550480392568+8.668337134616351e-005i,6.308612868555403+0i
1516716.888470923+0i,0.4672714150466857-0.02161259012861281i,1.17131240568354e-005+0.0006722132157679482i,-56.94449182622279+0.9929783824008628i,0.9994618088630995-0.03096402264683662i,1.373555093963041+0i,-0.1170550594942732+9.291515090736384e-005i,6.30861287394892+0i
1625755.666443795+0i,0.4672154692860711-0.02316530516076828i,1.345719990377228e-005+0.0007205070085392713i,-56.94192126231003+1.064317004208405i,0.9993816725851705-0.03318857369473149i,1.373555126288548+0i,-0.11705507265554+9.959494077594744e-005i,6.308612880145393+0i
1742633.386009651+0i,0.4671511965650355-0.02482940563824488i,1.546086379337064e-005+0.0007722651837733008i,-56.9389680959673+1.140773167143027i,0.9992896088330669-0.03557270503505904i,1.373555163428986+0i,-0.1170550877771738+0.0001067549488778476i,6.308612887265285+0i
1867913.599020783+0i,0.4670773585630699-0.02661284338907389i,1.776271963130283e-005+0.0008277350603754426i,-56.93557542954984+1.222712213267082i,0.9991838438459966-0.03812780915150343i,1.373555206101524+0i,-0.1170551051511974+0.0001144296985795232i,6.308612895445498+0i
2002200.371815586+0i,0.4669925331464424-0.02852412900522657i,2.040710159101133e-005+0.0008871813350734232i,-56.93167791966776+1.3105251566845i,0.999062340570519-0.04086607906561129i,1.373555255130191+0i,-0.1170551251130898+0.0001226561951420782i,6.308612904844346+0i
2146141.197858405+0i,0.4668950871922222-0.03057236903393776i,2.344492130848951e-005+0.0009508872388642719i,-56.92720052851976+1.404630392262464i,0.9989227597338923-0.04380056162148698i,1.373555311461711+0i,-0.1170551480483287+0.0001314741041385782i,6.308612915643032+0i
2300430.11977292+0i,0.4667831454292912-0.0327673051566515i,2.693463924551899e-005+0.001019155755210575i,-56.9220570922177+1.505475495670275i,0.9987624152121581-0.04694521361841469i,1.373555376183865+0i,-0.1170551743997975+0.0001409259426983937i,6.308612928050163+0i
2465811.075822605+0i,0.4666545547237078-0.03511935534112884i,3.094337807197643e-005+0.001092310899519849i,-56.91614867979082+1.613539114070397i,0.9985782228727747-0.05031496077075844i,1.373555450546443+0i,-0.117055204676327+0.0001510572844963762i,6.308612942305424+0i
2643081.486974107+0i,0.4665068431571056-0.03763965691541131i,3.554819837188293e-005+0.001170699058291073i,-56.90936171294345+1.72933294510357i,0.9983666419588548-0.05392575942171631i,1.373555535985384+0i,-0.1170552394625954+0.0001619169794746545i,6.30861295868365+0i
2833096.101839326+0i,0.4663371731584725-0.04034011146480604i,4.083755973266199e-005+0.0012546903848296i,-56.90156581258059+1.853403799626076i,0.9981236079554547-0.05779466086943105i,1.37355563415055+0i,-0.1170552794302881+0.0001735573893621249i,6.308612977501745+0i
3036771.118035461+0i,0.4661422878507713-0.04323343139232345i,4.691299335702644e-005+0.001344680246536993i,-56.89261133357312+1.986335740866613i,0.9978444557368948-0.06193987807696987i,1.373555746937526+0i,-0.1170553253511857+0.0001860346401141085i,6.308612999123244+0i
3255088.599835061+0i,0.4659184496639968-0.04633318790599837i,5.389101576379794e-005+0.00144109071638057i,-56.88232654418555+2.128752289132134i,0.9975238316365835-0.06638085442739733i,1.373555876524198+0i,-0.1170553781120612+0.0001994088924993304i,6.308613023964672+0i
3489101.213406776+0i,0.4656613701446977-0.04965386009954463i,6.190531693453229e-005+0.001544372098122556i,-56.87051440100391+2.28131867673602i,0.9971555929066869-0.07113833404625364i,1.373556025412907+0i,-0.1170554387317035+0.0002137446321341066i,6.308613052506336+0i
3739937.302478802+0i,0.465366129758346-0.05321088467133216i,7.110926042559663e-005+0.001655004471100811i,-56.85694886406089+2.444744132240995i,0.9967326928436975-0.07623443303978351i,1.373556196478753+0i,-0.117055508380669+0.0002291109803569254i,6.308613085299537+0i
4008806.32889847+0i,0.4650270863357806-0.05702070567537407i,8.167873749622614e-005+0.001773499235634495i,-56.84137069018505+2.619784166157245i,0.9962470496477647-0.08169271078053557i,1.373556393024951+0i,-0.117055588403914+0.0002455820274368469i,6.308613122976981+0i
4297004.704320846+0i,0.4646377706582947-0.06110082351036383i,9.381542217923498e-005+0.001900400634276633i,-56.82348263540425+2.807242821614208i,0.9956893968596305-0.08753824010318698i,1.373556618846898+0i,-0.1170556803466557+0.0002632371897389094i,6.308613166266654+0i
4605922.041145112+0i,0.4641907675103028-0.06546984212120172i,0.000107750479393076+0.002036287216913267i,-56.80294398962123+3.007974842882918i,0.9950491129813321-0.09379767494169825i,1.373556878305199+0i,-0.1170557859843109+0.0002821615925330797i,6.308613216004636+0i
4937047.85283901+0i,0.463677580355659-0.0701475131027381i,0.0001237487835749029+0.00218177320883136i,-56.77936435883845+3.222887701543983i,0.9943140276396205-0.1004993135311074i,1.373557176410021+0i,-0.1170559073567459+0.0003024464803180543i,6.308613273150959+0i
5291978.73595845+0i,0.463088477619011-0.07515477504708745i,0.0001421137107661339+0.00233750973001475i,-56.75229660218142+3.452943404089266i,0.9934702014005237-0.1076731547982629i,1.373557518917743+0i,-0.1170560468076565+0.0003241896566127592i,6.308613338809129+0i
5672426.068491987+0i,0.4624123183829505-0.08051378605142003i,0.0001631925723969387+0.0025041858006933i,-56.72122882313086+3.699159985243006i,0.9925016760992864-0.1153509449578377i,1.373557912442243+0i,-0.1170562070298029+0.0003474959553428575i,6.308613414247451+0i
6080224.261649433+0i,0.4616363551553537-0.08624794678853689i,0.0001873827638934948+0.002682529052125258i,-56.68557530718909+3.962612567643422i,0.9913901923257982-0.1235662105928619i,1.373558364582444+0i,-0.1170563911170824+0.0003724777460702382i,6.308613500922013+0i
6517339.604882435+0i,0.460746011232402-0.09238191092180266i,0.0002151387052482609+0.00287330604223914i,-56.6446662922833+4.244433840004631i,0.9901148705210716-0.1323542736098936i,1.373558884069201+0i,-0.117056602624155+0.0003992554755133366i,6.308613600507127+0i
6985879.74678526+0i,0.4597246301003179-0.09894157890159465i,0.0002469796532652133+0.003077322052551706i,-56.59773645441952+4.545813771674744i,0.9886518520221896-0.1417522423926681i,1.373559480933779+0i,-0.1170568456351824+0.0004279582479286274i,6.308613714925679+0i
7488103.857590037+0i,0.4585531943080237-0.1059540702934792i,0.0002834984655284639+0.003295420215125171i,-56.54391199060436+4.867998340752745i,0.9869738963776298-0.1517989722076155i,1.373560166701578+0i,-0.1170571248426436+0.0004587244471640842i,6.30861384638665+0i
